CBASS;Temperature;Sample;Species;Pam mean
CBASS8;30;T0_1;Pocillipora damicornis;0.606
CBASS8;30;T0_2;Pocillipora damicornis;0.583
CBASS8;30;T0_3;Pocillipora damicornis;0.562
CBASS8;30;T0_4;Pocillipora damicornis;0.572
CBASS8;33;T1_1;Pocillipora damicornis;0.517
CBASS8;33;T1_2;Pocillipora damicornis;0.449
CBASS8;33;T1_3;Pocillipora damicornis;0.627
CBASS8;33;T1_4;Pocillipora damicornis;0.477
CBASS8;36;T2_1;Pocillipora damicornis;0.304
CBASS8;36;T2_2;Pocillipora damicornis;0.341
CBASS8;36;T2_3;Pocillipora damicornis;0.338
CBASS8;36;T2_5;Pocillipora damicornis;0.218
CBASS8;39;T3_1;Pocillipora damicornis;0.048
CBASS8;39;T3_2;Pocillipora damicornis;0
CBASS8;39;T3_3;Pocillipora damicornis;0.173
CBASS8;39;T3_4;Pocillipora damicornis;0.041