Measurement;Coral species;Temperature;Pam.mean
MAREE;Pocillipora damicornis;25;0.664
MAREE;Pocillipora damicornis;25;0.665
MAREE;Pocillipora damicornis;25;0.637
MAREE;Pocillipora damicornis;25;0.644
MAREE;Pocillipora damicornis;25;0.555
MAREE;Pocillipora damicornis;25;0.725
MAREE;Pocillipora damicornis;25;0.75
MAREE;Pocillipora damicornis;25;0.609
CBASS1;Pocillipora damicornis;27;0.638
CBASS1;Pocillipora damicornis;27;0.614
CBASS1;Pocillipora damicornis;27;0.665
CBASS1;Pocillipora damicornis;27;0.635
CBASS1;Pocillipora damicornis;30;0.676
CBASS1;Pocillipora damicornis;30;0.544
CBASS1;Pocillipora damicornis;30;0.647
CBASS1;Pocillipora damicornis;30;0.644